PubChem_CID,Yeast_Inhibition_Percent,Cell_Viability_Percent,NanoLuc_Signal_Percent_Control
49722107,32.6,98.5,99.3
53212169,-17.8,105.4,24.9
71780502,-2.9,91.8,93.1
71781394,95.6,103.1,94.3
71782913,99.5,66.6,93.1
71786870,39.7,90.1,94.0
71786876,12.2,97.1,90.5
71786877,10.0,89.8,92.0
71786985,11.0,101.7,96.5
71786989,16.0,102.2,89.9
71786990,8.3,94.3,90.8
71786992,-10.1,104.6,95.5
71787916,28.8,101.1,96.0
71788301,8.3,91.4,94.6
71795763,-14.5,90.4,19.5
71796286,3.1,99.2,91.7
71797038,47.0,94.6,94.2
71797126,20.3,106.4,96.4
71798856,54.8,93.6,94.5
71799471,2.6,101.4,95.7
71799766,7.9,99.9,94.7
71801965,3.9,95.9,97.4
71802096,42.7,103.6,93.6
71803023,44.0,90.7,94.5
71803055,7.0,63.8,92.6
71804107,7.9,94.0,39.1
71807060,5.9,100.7,97.2
71807075,9.6,93.1,93.6
71811049,4.0,99.2,94.7
72718563,79.7,92.0,96.4
72720194,29.6,70.6,95.4
76149097,10.4,94.5,92.0
76150259,-2.1,108.6,97.5
76150266,-14.0,92.9,98.1
76151751,14.7,97.8,92.6
91624614,-0.5,96.6,97.0
91626508,53.9,98.3,93.3
91628556,83.1,88.7,88.0
91629266,31.5,103.1,99.4
91630328,3.0,93.3,99.1
